x,yPrime
-12.52,2.10281e-67
-12.51,2.69872e-67
-12.5,3.4628e-67
-12.49,4.44232e-67
-12.48,5.69778e-67
-12.47,7.30657e-67
-12.46,9.36774e-67
-12.45,1.2008e-66
-12.44,1.53892e-66
-12.43,1.97186e-66
-12.42,2.52609e-66
-12.41,3.23544e-66
-12.4,4.14316e-66
-12.39,5.30449e-66
-12.38,6.78996e-66
-12.37,8.68969e-66
-12.36,1.11187e-65
-12.35,1.42238e-65
-12.34,1.81925e-65
-12.33,2.32638e-65
-12.32,2.97428e-65
-12.31,3.80186e-65
-12.3,4.85873e-65
-12.29,6.20816e-65
-12.28,7.93077e-65
-12.27,1.01293e-64
-12.26,1.29348e-64
-12.25,1.65139e-64
-12.24,2.10792e-64
-12.23,2.69012e-64
-12.22,3.43243e-64
-12.21,4.37868e-64
-12.2,5.58469e-64
-12.19,7.12143e-64
-12.18,9.07922e-64
-12.17,1.15729e-63
-12.16,1.47486e-63
-12.15,1.87918e-63
-12.14,2.39388e-63
-12.13,3.04893e-63
-12.12,3.88244e-63
-12.11,4.94284e-63
-12.1,6.29159e-63
-12.09,8.00676e-63
-12.08,1.01875e-62
-12.07,1.29595e-62
-12.06,1.64825e-62
-12.05,2.09591e-62
-12.04,2.66461e-62
-12.03,3.38694e-62
-12.02,4.30422e-62
-12.01,5.46882e-62
-12,6.94714e-62
-11.99,8.8233e-62
-11.98,1.12039e-61
-11.97,1.42239e-61
-11.96,1.80544e-61
-11.95,2.29118e-61
-11.94,2.90703e-61
-11.93,3.68767e-61
-11.92,4.67699e-61
-11.91,5.93055e-61
-11.9,7.51857e-61
-11.89,9.52991e-61
-11.88,1.20769e-60
-11.87,1.53015e-60
-11.86,1.93832e-60
-11.85,2.45489e-60
-11.84,3.10849e-60
-11.83,3.93532e-60
-11.82,4.98108e-60
-11.81,6.30346e-60
-11.8,7.97532e-60
-11.79,1.00886e-59
-11.78,1.27592e-59
-11.77,1.61336e-59
-11.76,2.03964e-59
-11.75,2.57802e-59
-11.74,3.25786e-59
-11.73,4.11615e-59
-11.72,5.19951e-59
-11.71,6.5667e-59
-11.7,8.29171e-59
-11.69,1.04678e-58
-11.68,1.32123e-58
-11.67,1.6673e-58
-11.66,2.10359e-58
-11.65,2.65352e-58
-11.64,3.34655e-58
-11.63,4.21973e-58
-11.62,5.31966e-58
-11.61,6.70497e-58
-11.6,8.44933e-58
-11.59,1.06454e-57
-11.58,1.34095e-57
-11.57,1.68879e-57
-11.56,2.12644e-57
-11.55,2.67696e-57
-11.54,3.36934e-57
-11.53,4.23994e-57
-11.52,5.33443e-57
-11.51,6.7101e-57
-11.5,8.43884e-57
-11.49,1.06108e-56
-11.48,1.33392e-56
-11.47,1.67657e-56
-11.46,2.10681e-56
-11.45,2.64693e-56
-11.44,3.32486e-56
-11.43,4.17558e-56
-11.42,5.24292e-56
-11.41,6.58176e-56
-11.4,8.26084e-56
-11.39,1.03662e-55
-11.38,1.30055e-55
-11.37,1.63135e-55
-11.36,2.04588e-55
-11.35,2.56522e-55
-11.34,3.21576e-55
-11.33,4.03046e-55
-11.32,5.05056e-55
-11.31,6.32756e-55
-11.3,7.92585e-55
-11.29,9.92587e-55
-11.28,1.24281e-54
-11.27,1.55579e-54
-11.26,1.94721e-54
-11.25,2.43662e-54
-11.24,3.04841e-54
-11.23,3.81306e-54
-11.22,4.76854e-54
-11.21,5.96225e-54
-11.2,7.45329e-54
-11.19,9.31534e-54
-11.18,1.16402e-53
-11.17,1.45425e-53
-11.16,1.81647e-53
-11.15,2.26845e-53
-11.14,2.83233e-53
-11.13,3.53566e-53
-11.12,4.41277e-53
-11.11,5.50635e-53
-11.1,6.86957e-53
-11.09,8.56857e-53
-11.08,1.06856e-52
-11.07,1.33231e-52
-11.06,1.66081e-52
-11.05,2.0699e-52
-11.04,2.57925e-52
-11.03,3.21328e-52
-11.02,4.00236e-52
-11.01,4.98422e-52
-11,6.20569e-52
-10.99,7.72497e-52
-10.98,9.61426e-52
-10.97,1.19632e-51
-10.96,1.48831e-51
-10.95,1.85119e-51
-10.94,2.30208e-51
-10.93,2.86222e-51
-10.92,3.55794e-51
